"Munícipio","Região Administrativa","Ano","Porte","i-Educ","i-Saúde","i-Planejamento","i-Fiscal","i-Amb","i-Cidade","i-Gov-TI","IEGM","Receita","Despesa","Habitantes"
"Adamantina","Região Administrativa de Presidente Prudente","2014","Médio","A","A","C","B","A","C","B","B","R$ 105,070,271.12","R$ 107,526,432.80","33862"
"Adamantina","Região Administrativa de Presidente Prudente","2015","Médio","B+","B+","B+","B","B","C","C","B","R$ 115,400,733.51","R$ 127,982,995.60","33879"
"Adamantina","Região Administrativa de Presidente Prudente","2016","Médio","C+","B","B","B","B","C","C+","B","R$ 131,885,361.56","R$ 121,733,123.12","33882"
"Adamantina","Região Administrativa de Presidente Prudente","2017","Médio","B","B+","B","B+","B+","C","B","B","R$ 152,247,951.90","R$ 137,083,669.93","35139"
"Adolfo","Região Administrativa de São José do Rio Preto","2014","Muito Pequeno","B+","A","A","C+","B+","C","C+","B+","R$ 18,718,870.00","R$ 20,468,440.31","3512"
"Adolfo","Região Administrativa de São José do Rio Preto","2016","Muito Pequeno","B","A","B","B","B","C","C+","C","R$ 20,750,426.35","R$ 19,865,091.27","3490"
"Adolfo","Região Administrativa de São José do Rio Preto","2017","Muito Pequeno","C","B+","C+","B","B+","C","C","C","R$ 24,249,835.87","R$ 20,103,877.13","3609"
"Adolfo","Região Administrativa de São José do Rio Preto","2015","Muito Pequeno","B+","B+","C","C+","C","C","C","C","R$ 19,646,375.32","R$ 25,719,457.46","3501"
"Aguaí","Região Administrativa de Campinas","2015","Médio","B","C","B","B+","C","C","C","C+","R$ 68,842,563.23","R$ 68,781,896.86","33909"
"Aguaí","Região Administrativa de Campinas","2017","Médio","C+","B","C","B+","C","C","B","C+","R$ 75,688,743.12","R$ 72,168,734.08","35508"
"Aguaí","Região Administrativa de Campinas","2016","Médio","B","B","C","B+","C","C","C+","C+","R$ 75,706,522.86","R$ 75,767,987.17","34242"
"Aguaí","Região Administrativa de Campinas","2014","Médio","B","B","A","B","C","C","C","B","R$ 66,811,897.31","R$ 68,422,833.58","33542"
"Agudos","Região Administrativa de Bauru","2014","Médio","B+","A","B+","B","B+","A","B","B+","R$ 117,647,441.37","R$ 113,507,098.88","35199"
"Agudos","Região Administrativa de Bauru","2016","Médio","B","A","B+","B","C+","B+","C+","B+","R$ 131,746,778.97","R$ 148,655,588.15","35525"
"Agudos","Região Administrativa de Bauru","2017","Médio","B","B","C","C","B+","B+","B","C+","R$ 137,256,613.60","R$ 143,417,682.89","36880"
"Agudos","Região Administrativa de Bauru","2015","Médio","B","B+","B","B+","B+","C+","C+","B","R$ 124,025,746.43","R$ 117,825,361.21","35374"
"Alambari","Região Administrativa de Sorocaba","2015","Pequeno","B+","B+","B","B+","C","C","C+","B","R$ 18,117,810.73","R$ 18,109,056.42","5341"
"Alambari","Região Administrativa de Sorocaba","2017","Pequeno","B","B","C+","C+","C","C","C+","C+","R$ 21,357,497.36","R$ 21,839,012.14","5754"
"Alambari","Região Administrativa de Sorocaba","2016","Pequeno","B+","B+","C+","B+","C","C","B","B","R$ 20,171,384.66","R$ 19,929,406.29","5426"
"Alambari","Região Administrativa de Sorocaba","2014","Pequeno","A","B+","B+","B+","C+","C","C","B+","R$ 20,497,752.16","R$ 18,693,011.31","5244"
"Alfredo Marcondes","Região Administrativa de Presidente Prudente","2016","Muito Pequeno","C","B+","B","B+","B+","C","C","B","R$ 14,683,495.85","R$ 13,787,041.15","3919"
"Alfredo Marcondes","Região Administrativa de Presidente Prudente","2015","Muito Pequeno","C+","A","C+","B","B+","C","C","B","R$ 11,781,370.65","R$ 12,004,008.50","3916"
"Alfredo Marcondes","Região Administrativa de Presidente Prudente","2017","Muito Pequeno","C","B+","C","C+","B","C","C","C+","R$ 14,053,972.81","R$ 15,111,978.97","4135"
"Alfredo Marcondes","Região Administrativa de Presidente Prudente","2014","Muito Pequeno","C","A","B+","B+","B","C","C","B","R$ 12,222,926.68","R$ 12,359,505.49","3910"
"Altair","Região Administrativa de Barretos","2015","Muito Pequeno","B+","B+","C","B+","B","B+","C+","B","R$ 16,870,194.85","R$ 16,259,385.63","3931"
