Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Adamantina;Região Administrativa de Presidente Prudente;Adamantina;582;33.797;Pequeno 2;Sim;Lei;2238;24/11/1989;Possui Arquivo Publico;Arquivo Público e Histórico de Adamantina;Serviço de Educação, Esportes e Cultura;Avenida Adhemar de Barros, S/N;;;(12) 5632-4545;sil@sil.com.br;;Lei;2238;24/11/1989;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,9;206;5;431;CAIU
Adolfo;Região Administrativa de São José do Rio Preto;São José do Rio Preto;468;3.557;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,3;291;5,1;419;CAIU
Aguaí;Região Administrativa de Campinas;São João da Boa Vista;197;32.148;Pequeno 2;Sim;Lei;2225;23/12/2009;Cria o Arquivo Público Municipal de Aguaí;Arquivo Público Municipal de Aguaí;Gabinete do Prefeito;;;;;;;Lei;2225;23/12/2009;Cria o Arquivo Público Municipal de Aguaí;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2614;28/09/2016;Dispõe sobre a regulamentação do acesso a informações no âmbito da Administração Pública direta e indireta do Município de Aguaí, conforme previsto, na Lei Federal nº12.527, de 18 de novembro de 2011, e dá outras providências.;Sim;Diretor/Assessor Municipal ou Diretor Presidente da Entidade da Administração Pública Indireta da área que exarou a decisão impugnada.;Comissão Mista de Julgamento de Recursos de Acesso à Informação;Não há;Não há;Não;Sim;Sim;Balcão de Atendimento da Seção de Acesso à informação localizada junto ao Setor de Protocolo e Arquivo (recebe e registra as solicitações).;6,1;178;6,1;314;IGUAL
Águas da Prata;Região Administrativa de Campinas;São João da Boa Vista;227;7.584;Pequeno 1;Sim;Lei;2220;07/06/2016;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Lei;2220;07/06/2016;;;Sim;;;;;;"A Tabela de Temporalidade foi parcialmente oficializada (somente algumas áreas).  A elaboração da TTD é prevista na Lei Municipal nº 2.220/2016, de 07/06/2016, art. 7º, IV. Lei municipal nº 2.163/2015, de 28/08/2015 referente à aplicação da Resolução CONARQ nº 14/2001 (Código de Classificação de Documentos Atividades-Meio). Lei Municipal nº 2.220/2016, de 07/06/2016, que ""Dispõe sobre a criação do Arquivo Público Municipal de Águas da Prata, define as diretrizes da política municipal de arquivos públicos e dá outras providências"" (ver art. 15 a 17, que criam a CCADA).";Sim;Não;Não;Sim;;Sim;Decreto;2553;14/01/2016;;Sim;Prefeito Municipal;Não há;Não há;Não há;Sim;Sim;Sim;Avenida Washington Luiz 485- Centro - Águas da Prata -SP;2,6;551;5,2;411;SUBIU
Águas de Lindóia;Região Administrativa de Campinas;Bragança Paulista;163;17.266;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5;322;5,5;371;SUBIU
Águas de Santa Bárbara;Região Administrativa de Sorocaba;Avaré;294;5.601;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;1701;05/10/2016;Lei de Acesso regulamentada;Sim;Diretor do Departamento de Administração;Prefeito;Não há;Não há;Não;Sim;Sim;Não determinada: Estrutura Administrativa da Estância Hidromineral de Águas de Santa Bárbara: Subordinado ao Gabinete do Prefeito (recebe e registra os pedidos).;6;199;8,7;45;SUBIU
Águas de São Pedro;Região Administrativa de Campinas;Piracicaba;187;2.707;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1820;09/03/2017;Dispõe sobre o acesso a informações, previsto no inciso XXXIII do art. 5º, no inciso II do §3º do art. 37 e no §2º do art. 216 da Constituição Federal e na Lei Federal 12.527, de 18 de novembro de 2011, cria o serviço de informações ao cidadão no âmbito municipal e dá outras providências.;Sim;Autoridade hierarquicamente superior ao SIC;Autoridade máxima do Município;Não há;Não há;Sim;Sim;Sim;Setor de protocolo localizado no Paço Municipal: Praça Prefeito Geraldo de Azevedo, 115 (recebe e registra os pedidos).;2,5;558;6,2;298;SUBIU
Agudos;Região Administrativa de Bauru;Bauru;311;34.524;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;5069;22/07/2013;Regulamenta LAI;Sim;Secretário Municipal que exarou a decisão impugnada.;Comissão Mista de Julgamento de Recursos de Acesso à Informação;Não há;Não há;Não;Não;Sim;Balcão de Atendimento ao Cidadão no Paço Municipal.;5,4;274;6,8;229;SUBIU
Alambari;Região Administrativa de Sorocaba;Itapetininga;149;4.884;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;1,5;607;4,4;477;SUBIU
Alfredo Marcondes;Região Administrativa de Presidente Prudente;Presidente Prudente;586;3.891;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,9;586;4,5;472;SUBIU
